card,level,trophies,win,draw,lose
Archers,11,800,0,0,1
Archers,11,1000,0,0,1
Archers,12,1000,0,0,1
Archers,13,1000,0,0,1
Archers,8,1100,0,0,1
Archers,7,1300,1,0,0
Archers,10,1300,0,0,1
Archers,6,1500,0,0,1
Archers,5,1600,0,0,1
Archers,10,1600,0,0,1
Archers,4,1700,0,0,1
Archers,10,1700,1,0,0
Archers,6,1800,0,0,1
Archers,7,1800,0,0,1
Archers,8,1800,0,0,1
Archers,7,1900,1,0,1
Archers,7,2000,0,0,1
Archers,7,2100,2,0,0
Archers,13,2100,1,0,0
Archers,6,2200,0,0,2
Archers,7,2200,1,0,2
Archers,8,2200,1,0,2
Archers,11,2200,1,0,1
Archers,6,2300,1,0,0
Archers,9,2300,1,0,0
Archers,5,2400,0,0,1
Archers,6,2400,0,0,1
Archers,7,2400,0,0,2
Archers,8,2400,0,0,1
Archers,12,2400,0,0,1
Archers,6,2500,0,0,1
Archers,7,2500,0,0,1
Archers,9,2500,1,0,1
Archers,6,2600,0,0,1
Archers,11,2600,1,0,0
Archers,5,2700,1,0,0
Archers,6,2700,1,0,0
Archers,7,2800,1,0,2
Archers,11,2800,1,0,0
Archers,6,2900,0,0,1
Archers,7,2900,1,0,2
Archers,8,2900,1,0,1
Archers,9,2900,0,0,1
Archers,12,2900,0,0,1
Archers,7,3000,1,0,0
Archers,11,3000,0,0,1
Archers,12,3000,0,0,1
Archers,8,3100,0,0,1
Archers,7,3200,0,0,2
Archers,12,3200,0,0,1
Archers,7,3300,0,0,1
Archers,8,3300,1,0,0
Archers,6,3400,0,0,2
Archers,7,3400,4,0,2
Archers,8,3400,0,0,1
Archers,9,3400,1,0,0
Archers,13,3400,0,0,2
Archers,6,3500,0,0,1
Archers,7,3500,1,0,2
Archers,8,3500,2,0,1
Archers,9,3500,1,0,2
Archers,12,3500,0,0,1
Archers,6,3600,1,0,3
Archers,7,3600,1,0,1
Archers,8,3600,7,0,14
Archers,9,3600,9,0,4
Archers,10,3600,2,0,0
Archers,12,3600,0,0,1
Archers,13,3600,0,0,1
Archers,7,3700,4,0,2
Archers,8,3700,16,0,22
Archers,9,3700,25,0,28
Archers,10,3700,1,0,0
Archers,11,3700,0,0,1
Archers,13,3700,0,0,1
Archers,6,3800,0,0,2
Archers,7,3800,2,0,10
Archers,8,3800,7,0,22
Archers,9,3800,28,0,42
Archers,10,3800,1,0,1
Archers,6,3900,0,0,3
Archers,7,3900,0,0,4
Archers,8,3900,7,0,8
Archers,9,3900,7,0,14
Archers,10,3900,1,0,0
Archers,12,3900,0,0,1
Archers,13,3900,0,0,1
Archers,6,4000,0,0,1
Archers,7,4000,0,0,3
Archers,8,4000,2,0,5
Archers,9,4000,1,0,2
Archers,10,4000,0,0,3
Archers,11,4000,0,0,2
Archers,12,4000,1,0,1
Archers,13,4000,0,0,1
Archers,7,4100,1,0,2
Archers,8,4100,4,0,8
Archers,9,4100,0,0,9
Archers,10,4100,0,0,1
Archers,11,4100,0,0,1
Archers,12,4100,1,0,2
Archers,6,4200,1,0,0
Archers,7,4200,1,0,6
Archers,8,4200,2,0,8
Archers,9,4200,7,0,22
Archers,10,4200,1,0,3
Archers,11,4200,1,0,2
Archers,12,4200,1,0,0
Archers,13,4200,1,0,2
Archers,5,4300,1,0,2
Archers,6,4300,2,0,1
Archers,7,4300,9,0,6
Archers,8,4300,6,0,17
Archers,9,4300,10,0,19
Archers,10,4300,5,0,6
Archers,11,4300,4,0,9
Archers,13,4300,2,0,2
Archers,6,4400,0,0,1
Archers,7,4400,1,0,15
Archers,8,4400,14,0,30
Archers,9,4400,10,0,22
Archers,10,4400,8,0,10
Archers,11,4400,20,0,55
Archers,12,4400,6,0,4
Archers,13,4400,5,0,4
Archers,6,4500,0,0,2
Archers,7,4500,3,0,6
Archers,8,4500,11,0,28
Archers,9,4500,23,0,43
Archers,10,4500,13,0,30
Archers,11,4500,28,0,50
Archers,12,4500,4,0,4
Archers,13,4500,2,0,4
Archers,6,4600,0,0,1
Archers,7,4600,4,0,6
Archers,8,4600,8,0,24
Archers,9,4600,27,0,61
Archers,10,4600,29,0,38
Archers,11,4600,29,0,44
Archers,12,4600,10,0,3
Archers,13,4600,3,0,10
Archers,7,4700,1,0,1
Archers,8,4700,8,0,22
Archers,9,4700,26,0,50
Archers,10,4700,43,0,67
Archers,11,4700,49,0,69
Archers,12,4700,29,0,24
Archers,13,4700,19,0,12
Archers,7,4800,0,0,1
Archers,8,4800,3,0,8
Archers,9,4800,25,0,44
Archers,10,4800,55,0,72
Archers,11,4800,85,0,112
Archers,12,4800,87,0,75
Archers,13,4800,38,0,32
Archers,8,4900,0,0,3
Archers,9,4900,12,0,21
Archers,10,4900,32,0,48
Archers,11,4900,91,0,131
Archers,12,4900,123,0,128
Archers,13,4900,77,0,74
Archers,8,5000,0,0,1
Archers,9,5000,3,0,4
Archers,10,5000,19,0,42
Archers,11,5000,95,0,123
Archers,12,5000,159,0,210
Archers,13,5000,151,0,144
Archers,8,5100,1,0,0
Archers,9,5100,1,0,2
Archers,10,5100,5,0,9
Archers,11,5100,44,0,75
Archers,12,5100,132,0,210
Archers,13,5100,256,0,236
Archers,9,5200,0,0,1
Archers,10,5200,0,0,7
Archers,11,5200,14,0,21
Archers,12,5200,72,0,132
Archers,13,5200,328,0,295
Archers,11,5300,1,0,6
Archers,12,5300,49,0,59
Archers,13,5300,302,0,272
Archers,11,5400,1,0,2
Archers,12,5400,18,0,26
Archers,13,5400,217,0,284
Archers,11,5500,0,0,2
Archers,12,5500,6,0,9
Archers,13,5500,153,0,211
Archers,10,5600,0,0,1
Archers,12,5600,1,0,3
Archers,13,5600,132,0,162
Archers,11,5700,0,0,1
Archers,12,5700,1,0,0
Archers,13,5700,66,0,76
Archers,12,5800,0,0,2
Archers,13,5800,49,0,49
Archers,12,5900,0,0,1
Archers,13,5900,29,0,18
Archers,12,6000,1,0,0
Archers,13,6000,13,0,12
Archers,13,6100,4,0,14
Archers,13,6200,3,0,6
Archers,13,6300,1,0,1
Archers,13,6400,0,0,1
Archers,13,6500,0,0,1
Archers,13,6600,2,0,1
Archers,13,6700,0,0,1
Arrows,6,700,0,0,1
Arrows,6,1100,1,0,0
Arrows,10,1100,0,0,1
Arrows,10,1300,0,0,1
Arrows,6,1400,0,0,1
Arrows,7,1400,1,0,1
Arrows,4,1500,0,0,1
Arrows,6,1500,0,0,1
Arrows,6,1600,2,0,0
Arrows,7,1600,1,0,1
Arrows,7,1700,2,0,2
Arrows,8,1700,0,0,1
Arrows,9,1700,0,0,1
Arrows,5,1800,1,0,0
Arrows,6,1800,4,0,3
Arrows,7,1800,1,0,5
Arrows,8,1800,1,0,0
Arrows,6,1900,1,0,1
Arrows,7,1900,2,0,1
Arrows,3,2000,0,0,1
Arrows,6,2000,1,0,2
Arrows,13,2000,0,0,1
Arrows,6,2100,3,0,0
Arrows,7,2100,0,0,2
Arrows,8,2100,1,0,1
Arrows,13,2100,1,0,0
Arrows,5,2200,1,0,0
Arrows,6,2200,0,0,2
Arrows,7,2200,6,0,8
