card,level,trophies,win,draw,lose
Archers,9,600,0,0,1
Archers,6,1600,1,0,0
Archers,12,1600,0,0,1
Archers,6,1700,1,0,0
Archers,7,1700,1,0,0
Archers,6,1800,0,0,1
Archers,7,1800,2,0,1
Archers,6,2000,1,0,0
Archers,5,2500,1,0,0
Archers,6,2500,1,0,0
Archers,7,2600,1,0,0
Archers,9,2700,1,0,1
Archers,7,2900,0,0,1
Archers,7,3000,1,0,0
Archers,11,3000,0,0,2
Archers,12,3100,0,0,1
Archers,13,3200,1,0,0
Archers,7,3400,0,0,1
Archers,9,3400,1,0,0
Archers,7,3500,1,0,2
Archers,8,3500,1,0,2
Archers,7,3600,0,0,1
Archers,8,3600,9,0,2
Archers,9,3600,3,0,1
Archers,11,3600,1,0,0
Archers,5,3700,1,0,0
Archers,7,3700,1,0,4
Archers,8,3700,5,0,6
Archers,9,3700,3,0,1
Archers,10,3700,0,0,1
Archers,5,3800,1,0,0
Archers,6,3800,0,0,4
Archers,7,3800,3,0,5
Archers,8,3800,1,0,10
Archers,9,3800,2,0,4
Archers,10,3800,0,0,1
Archers,6,3900,0,0,1
Archers,7,3900,1,0,4
Archers,8,3900,2,0,2
Archers,10,3900,1,0,0
Archers,6,4000,0,0,1
Archers,8,4000,0,0,3
Archers,9,4000,1,0,1
Archers,13,4000,1,0,1
Archers,7,4100,2,0,4
Archers,8,4100,1,0,5
Archers,9,4100,1,0,2
Archers,10,4100,0,0,2
Archers,11,4100,0,0,2
Archers,7,4200,1,0,2
Archers,8,4200,2,0,9
Archers,9,4200,3,0,13
Archers,10,4200,1,0,4
Archers,11,4200,1,0,5
Archers,12,4200,0,0,2
Archers,13,4200,1,0,5
Archers,5,4300,0,0,1
Archers,6,4300,1,0,1
Archers,7,4300,3,0,6
Archers,8,4300,1,0,10
Archers,9,4300,5,0,11
Archers,10,4300,3,0,3
Archers,11,4300,5,0,19
Archers,12,4300,0,0,3
Archers,13,4300,1,0,2
Archers,6,4400,0,0,2
Archers,7,4400,3,0,5
Archers,8,4400,5,0,22
Archers,9,4400,9,0,20
Archers,10,4400,6,0,11
Archers,11,4400,20,0,29
Archers,12,4400,1,0,0
Archers,13,4400,0,0,9
Archers,7,4500,2,0,5
Archers,8,4500,4,0,17
Archers,9,4500,13,0,44
Archers,10,4500,8,0,4
Archers,11,4500,8,0,24
Archers,12,4500,0,0,1
Archers,13,4500,3,0,1
Archers,6,4600,1,0,0
Archers,7,4600,2,0,2
Archers,8,4600,7,0,20
Archers,9,4600,18,0,21
Archers,10,4600,20,0,29
Archers,11,4600,13,0,16
Archers,12,4600,8,0,5
Archers,13,4600,3,0,3
Archers,6,4700,1,0,0
Archers,7,4700,4,0,0
Archers,8,4700,8,0,10
Archers,9,4700,18,0,33
Archers,10,4700,19,0,49
Archers,11,4700,24,0,38
Archers,12,4700,17,0,10
Archers,13,4700,6,0,11
Archers,8,4800,1,0,1
Archers,9,4800,10,0,20
Archers,10,4800,39,0,56
Archers,11,4800,45,0,60
Archers,12,4800,49,0,47
Archers,13,4800,12,0,8
Archers,8,4900,1,0,2
Archers,9,4900,5,0,21
Archers,10,4900,27,0,55
Archers,11,4900,68,0,82
Archers,12,4900,72,0,89
Archers,13,4900,34,0,29
Archers,8,5000,0,0,2
Archers,9,5000,0,0,5
Archers,10,5000,8,0,23
Archers,11,5000,54,0,79
Archers,12,5000,105,0,130
Archers,13,5000,93,0,73
Archers,9,5100,1,0,1
Archers,10,5100,1,0,4
Archers,11,5100,28,0,41
Archers,12,5100,80,0,108
Archers,13,5100,115,0,96
Archers,2,5200,0,0,1
Archers,9,5200,1,0,0
Archers,10,5200,0,0,4
Archers,11,5200,11,0,16
Archers,12,5200,77,0,86
Archers,13,5200,179,0,169
Archers,10,5300,0,0,2
Archers,11,5300,4,0,3
Archers,12,5300,27,0,38
Archers,13,5300,197,0,169
Archers,11,5400,0,0,1
Archers,12,5400,18,0,21
Archers,13,5400,134,0,170
Archers,12,5500,5,0,10
Archers,13,5500,113,0,138
Archers,11,5600,0,0,1
Archers,12,5600,3,0,6
Archers,13,5600,91,0,96
Archers,12,5700,2,0,0
Archers,13,5700,63,0,76
Archers,12,5800,1,0,1
Archers,13,5800,50,0,47
Archers,12,5900,0,0,1
Archers,13,5900,36,0,42
Archers,13,6000,25,0,20
Archers,13,6100,14,0,18
Archers,13,6200,14,0,15
Archers,13,6300,5,0,5
Archers,13,6400,7,0,3
Archers,13,6500,2,0,2
Archers,13,6600,0,0,3
Archers,13,6700,2,0,1
Archers,13,6800,3,0,0
Archers,13,6900,1,0,0
Arrows,6,700,0,0,1
Arrows,7,1100,0,0,1
Arrows,5,1200,1,0,0
Arrows,6,1400,1,0,0
Arrows,7,1400,0,0,1
Arrows,7,1600,1,0,0
Arrows,13,1600,0,0,1
Arrows,6,1700,1,0,1
Arrows,7,1700,1,0,2
Arrows,8,1700,2,0,0
Arrows,5,1800,1,0,1
Arrows,7,1800,1,0,4
Arrows,7,1900,1,0,1
Arrows,6,2000,0,0,1
Arrows,7,2200,0,0,3
Arrows,8,2200,1,0,0
Arrows,10,2200,1,0,0
Arrows,7,2300,1,0,0
Arrows,9,2300,0,0,1
Arrows,7,2400,1,0,0
Arrows,8,2400,1,0,0
Arrows,9,2500,0,0,1
Arrows,10,2600,0,0,1
Arrows,7,2700,1,0,0
Arrows,9,2700,0,0,1
Arrows,7,2800,1,0,0
Arrows,8,2800,2,0,0
Arrows,6,2900,0,0,2
Arrows,7,3000,1,0,0
Arrows,7,3100,2,0,1
Arrows,6,3200,0,0,1
Arrows,7,3200,0,0,3
Arrows,8,3200,1,0,0
Arrows,12,3200,1,0,0
Arrows,7,3300,1,0,0
Arrows,12,3300,1,0,0
Arrows,6,3400,0,0,2
Arrows,8,3400,1,0,2
Arrows,9,3400,1,0,0
Arrows,10,3400,0,0,1
Arrows,12,3400,0,0,1
Arrows,6,3500,0,0,1
Arrows,7,3500,2,0,4
Arrows,8,3500,2,0,2
Arrows,9,3500,0,0,1
Arrows,13,3500,0,0,1
Arrows,6,3600,2,0,1
Arrows,7,3600,11,0,8
Arrows,8,3600,10,0,8
Arrows,9,3600,7,0,3
Arrows,11,3600,0,0,1
Arrows,12,3600,0,0,1
Arrows,13,3600,1,0,1
Arrows,2,3700,1,0,0
Arrows,6,3700,6,0,2
Arrows,7,3700,12,0,10
Arrows,8,3700,15,0,18
Arrows,9,3700,6,0,9
Arrows,10,3700,1,0,3
Arrows,12,3700,1,0,0
Arrows,6,3800,5,0,7
Arrows,7,3800,11,0,11
Arrows,8,3800,14,0,15
Arrows,9,3800,3,0,10
Arrows,10,3800,1,0,1
Arrows,5,3900,2,0,0
Arrows,6,3900,0,0,2
Arrows,7,3900,3,0,7
Arrows,8,3900,1,0,14
Arrows,9,3900,6,0,5
Arrows,10,3900,0,0,1
Arrows,6,4000,3,0,2
Arrows,7,4000,2,0,4
Arrows,8,4000,3,0,1
Arrows,9,4000,1,0,6
Arrows,10,4000,0,0,2
Arrows,11,4000,1,0,1
Arrows,12,4000,1,0,1
Arrows,13,4000,1,0,0
Arrows,6,4100,1,0,4
Arrows,7,4100,4,0,4
Arrows,8,4100,3,0,10
Arrows,9,4100,4,0,8
Arrows,10,4100,1,0,2
Arrows,11,4100,2,0,6
Arrows,12,4100,2,0,2
Arrows,13,4100,0,0,4
Arrows,6,4200,1,0,4
Arrows,7,4200,3,0,18
Arrows,8,4200,12,0,29
Arrows,9,4200,10,0,18
Arrows,10,4200,3,0,5
Arrows,11,4200,0,0,4
Arrows,12,4200,0,0,6
Arrows,13,4200,5,0,7
Arrows,6,4300,1,0,6
Arrows,7,4300,8,0,21
Arrows,8,4300,23,0,46
Arrows,9,4300,14,0,35
Arrows,10,4300,5,0,6
Arrows,11,4300,4,0,9
Arrows,12,4300,1,0,1
Arrows,13,4300,3,0,6
Arrows,6,4400,2,0,5
Arrows,7,4400,13,0,30
Arrows,8,4400,25,0,64
Arrows,9,4400,25,0,58
Arrows,10,4400,9,0,11
Arrows,11,4400,4,0,9
Arrows,12,4400,1,0,1
Arrows,13,4400,3,0,3
Arrows,5,4500,0,0,2
Arrows,6,4500,1,0,6
Arrows,7,4500,10,0,36
Arrows,8,4500,34,0,101
Arrows,9,4500,50,0,106
Arrows,10,4500,30,0,36
Arrows,11,4500,20,0,14
Arrows,12,4500,3,0,4
Arrows,13,4500,5,0,8
Arrows,1,4600,0,0,1
Arrows,5,4600,0,0,1
Arrows,6,4600,2,0,2
Arrows,7,4600,13,0,32
Arrows,8,4600,40,0,85
Arrows,9,4600,96,0,140
Arrows,10,4600,68,0,89
Arrows,11,4600,37,0,33
Arrows,12,4600,5,0,8
Arrows,13,4600,8,0,7
Arrows,6,4700,1,0,0
Arrows,7,4700,5,0,18
Arrows,8,4700,34,0,66
