card,level,trophies,win,draw,lose
Archers,5,900,0,0,1
Archers,6,1100,1,0,0
Archers,7,1200,1,0,0
Archers,6,1400,0,0,1
Archers,7,1400,0,0,3
Archers,9,1400,1,0,0
Archers,9,1700,0,0,1
Archers,4,1800,0,0,1
Archers,5,1800,0,0,1
Archers,7,1800,2,0,0
Archers,5,1900,0,0,1
Archers,6,1900,1,0,0
Archers,7,1900,3,0,0
Archers,5,2100,1,0,0
Archers,7,2100,0,0,2
Archers,6,2200,0,0,1
Archers,7,2200,1,0,3
Archers,13,2200,1,0,0
Archers,7,2300,1,0,0
Archers,6,2400,0,0,2
Archers,7,2400,0,0,2
Archers,8,2400,1,0,0
Archers,12,2400,1,0,0
Archers,13,2400,1,0,0
Archers,6,2500,1,0,2
Archers,7,2500,2,0,2
Archers,8,2500,1,0,1
Archers,11,2500,0,0,1
Archers,5,2600,1,0,0
Archers,6,2600,1,0,0
Archers,7,2600,1,0,0
Archers,8,2600,1,0,0
Archers,6,2700,1,0,0
Archers,7,2700,0,0,1
Archers,12,2700,0,0,1
Archers,5,2800,1,0,0
Archers,7,2800,0,0,4
Archers,9,2800,0,0,1
Archers,7,2900,1,0,0
Archers,8,2900,0,0,1
Archers,7,3000,1,0,0
Archers,8,3000,2,0,0
Archers,10,3000,0,0,1
Archers,6,3100,0,0,1
Archers,8,3100,0,0,3
Archers,9,3100,1,0,0
Archers,12,3100,0,0,1
Archers,5,3200,0,0,1
Archers,6,3200,1,0,1
Archers,7,3200,2,0,0
Archers,8,3200,1,0,1
Archers,12,3200,0,0,1
Archers,7,3300,0,0,1
Archers,8,3300,1,0,2
Archers,12,3300,0,0,1
Archers,6,3400,2,0,0
Archers,7,3400,2,0,2
Archers,8,3400,1,0,1
Archers,9,3400,1,0,0
Archers,6,3500,1,0,0
Archers,7,3500,1,0,5
Archers,8,3500,1,0,4
Archers,9,3500,2,0,0
Archers,6,3600,0,0,1
Archers,7,3600,2,0,6
Archers,8,3600,9,0,7
Archers,9,3600,10,0,14
Archers,11,3600,0,0,1
Archers,12,3600,0,0,2
Archers,13,3600,1,0,1
Archers,6,3700,1,0,3
Archers,7,3700,5,0,7
Archers,8,3700,32,0,38
Archers,9,3700,32,0,30
Archers,10,3700,1,0,0
Archers,11,3700,0,0,1
Archers,13,3700,0,0,1
Archers,5,3800,1,0,0
Archers,6,3800,0,0,3
Archers,7,3800,1,0,12
Archers,8,3800,23,0,33
Archers,9,3800,29,0,37
Archers,10,3800,2,0,1
Archers,6,3900,2,0,1
Archers,7,3900,2,0,4
Archers,8,3900,5,0,9
Archers,9,3900,6,0,27
Archers,10,3900,0,0,3
Archers,6,4000,1,0,2
Archers,7,4000,2,0,5
Archers,8,4000,5,0,3
Archers,9,4000,1,0,4
Archers,11,4000,0,0,3
Archers,12,4000,1,0,3
Archers,13,4000,2,0,5
Archers,6,4100,0,0,1
Archers,7,4100,1,0,7
Archers,8,4100,4,0,10
Archers,9,4100,6,0,15
Archers,10,4100,2,0,4
Archers,11,4100,3,0,3
Archers,12,4100,1,0,2
Archers,13,4100,2,0,4
Archers,5,4200,0,0,1
Archers,6,4200,0,0,2
Archers,7,4200,3,0,7
Archers,8,4200,7,0,18
Archers,9,4200,8,0,40
Archers,10,4200,2,0,6
Archers,11,4200,1,0,1
Archers,12,4200,0,0,5
Archers,13,4200,1,0,1
Archers,6,4300,0,0,3
