card,level,trophies,win,draw,lose
Knight,1,0,3,0,1
Knight,2,0,388,25,400
Knight,3,0,255,9,256
Knight,4,0,10,0,13
Knight,5,0,1,0,20
Knight,6,0,2,0,3
Knight,1,100,8,0,8
Knight,2,100,1230,57,1397
Knight,3,100,2180,88,2277
Knight,4,100,805,23,782
Knight,5,100,37,2,61
Knight,6,100,3,0,23
Knight,1,200,15,0,15
Knight,2,200,1047,48,1696
Knight,3,200,3408,132,3506
Knight,4,200,3206,122,3417
Knight,5,200,446,18,643
Knight,6,200,19,0,18
Knight,1,300,13,0,15
Knight,2,300,492,27,837
Knight,3,300,2703,140,3406
Knight,4,300,3814,157,4312
Knight,5,300,1066,42,1334
Knight,6,300,65,1,65
Knight,7,300,6,1,0
Knight,8,300,2,3,2
Knight,1,400,6,2,5
Knight,2,400,388,23,630
Knight,3,400,2673,181,3504
Knight,4,400,6656,400,7862
Knight,5,400,3572,210,4444
Knight,6,400,456,29,513
Knight,7,400,27,1,27
Knight,8,400,3,2,12
Knight,1,500,7,1,5
Knight,2,500,185,9,277
Knight,3,500,2129,164,3257
Knight,4,500,7811,606,11017
Knight,5,500,5966,486,7515
Knight,6,500,2275,256,2928
Knight,7,500,162,15,198
Knight,9,500,3,0,2
Knight,1,600,10,1,28
Knight,2,600,111,4,164
Knight,3,600,1164,71,1351
Knight,4,600,6395,596,8373
Knight,5,600,7928,815,10967
Knight,6,600,2994,385,4280
Knight,7,600,429,46,459
Knight,8,600,15,0,23
Knight,10,600,4,0,6
Knight,12,600,10,0,17
Knight,1,700,7,1,9
Knight,2,700,104,6,133
Knight,3,700,1064,78,749
Knight,4,700,7709,924,11757
Knight,5,700,12776,1502,19834
Knight,6,700,5927,825,7692
Knight,7,700,1947,256,2395
Knight,8,700,53,5,66
Knight,9,700,5,0,8
Knight,10,700,1,0,3
Knight,12,700,2,0,22
Knight,1,800,9,2,14
Knight,2,800,115,5,134
Knight,3,800,1059,86,884
Knight,4,800,8097,1010,15505
Knight,5,800,15642,1961,26677
Knight,6,800,8282,1153,9740
Knight,7,800,4425,682,5921
Knight,8,800,255,31,279
Knight,9,800,10,0,4
Knight,1,900,4,0,16
Knight,2,900,87,14,133
Knight,3,900,820,85,735
Knight,4,900,6221,758,11060
Knight,5,900,13119,1625,21075
Knight,6,900,8262,1337,9118
Knight,7,900,3947,764,5208
Knight,8,900,353,52,432
Knight,9,900,3,0,11
Knight,11,900,0,0,3
Knight,2,1000,44,7,99
Knight,3,1000,376,43,321
Knight,4,1000,2931,362,3572
Knight,5,1000,12812,2106,30538
Knight,6,1000,9438,1422,14715
Knight,7,1000,3827,613,4373
Knight,8,1000,572,51,649
Knight,9,1000,15,2,16
Knight,11,1000,7,0,5
Knight,1,1100,6,0,12
Knight,2,1100,31,6,98
Knight,3,1100,345,32,271
Knight,4,1100,2962,339,2687
Knight,5,1100,15696,2715,38781
Knight,6,1100,13945,2267,22219
Knight,7,1100,7254,1267,8403
Knight,8,1100,1410,195,1679
Knight,9,1100,25,3,18
Knight,11,1100,9,0,12
Knight,1,1200,9,4,21
Knight,2,1200,24,6,65
Knight,3,1200,251,53,225
Knight,4,1200,2483,321,2086
Knight,5,1200,11473,1895,24692
Knight,6,1200,12430,1931,16871
Knight,7,1200,6589,1285,7456
Knight,8,1200,1198,208,1490
